acc	R1	R2
SRR1564938	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/008/SRR1564938/SRR1564938_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/008/SRR1564938/SRR1564938_2.fastq.gz
SRR1568150	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/000/SRR1568150/SRR1568150_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/000/SRR1568150/SRR1568150_2.fastq.gz
SRR1562968	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/008/SRR1562968/SRR1562968_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/008/SRR1562968/SRR1562968_2.fastq.gz
SRR1564926	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/006/SRR1564926/SRR1564926_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/006/SRR1564926/SRR1564926_2.fastq.gz
SRR1564976	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/006/SRR1564976/SRR1564976_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/006/SRR1564976/SRR1564976_2.fastq.gz
SRR1568219	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/009/SRR1568219/SRR1568219_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/009/SRR1568219/SRR1568219_2.fastq.gz
SRR1562840	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/000/SRR1562840/SRR1562840_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/000/SRR1562840/SRR1562840_2.fastq.gz
SRR1565060	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/000/SRR1565060/SRR1565060_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/000/SRR1565060/SRR1565060_2.fastq.gz
SRR1565148	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/008/SRR1565148/SRR1565148_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/008/SRR1565148/SRR1565148_2.fastq.gz
SRR1568218	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/008/SRR1568218/SRR1568218_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/008/SRR1568218/SRR1568218_2.fastq.gz
SRR1565114	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/004/SRR1565114/SRR1565114_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/004/SRR1565114/SRR1565114_2.fastq.gz
SRR1568110	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/000/SRR1568110/SRR1568110_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/000/SRR1568110/SRR1568110_2.fastq.gz
SRR1564950	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/000/SRR1564950/SRR1564950_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/000/SRR1564950/SRR1564950_2.fastq.gz
SRR1568153	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/003/SRR1568153/SRR1568153_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/003/SRR1568153/SRR1568153_2.fastq.gz
SRR1565012	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/002/SRR1565012/SRR1565012_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/002/SRR1565012/SRR1565012_2.fastq.gz
SRR1568225	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/005/SRR1568225/SRR1568225_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/005/SRR1568225/SRR1568225_2.fastq.gz
SRR1565074	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/004/SRR1565074/SRR1565074_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/004/SRR1565074/SRR1565074_2.fastq.gz
SRR1568181	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/001/SRR1568181/SRR1568181_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/001/SRR1568181/SRR1568181_2.fastq.gz
SRR1565038	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/008/SRR1565038/SRR1565038_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/008/SRR1565038/SRR1565038_2.fastq.gz
SRR1568231	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/001/SRR1568231/SRR1568231_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/001/SRR1568231/SRR1568231_2.fastq.gz
SRR1564928	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/008/SRR1564928/SRR1564928_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/008/SRR1564928/SRR1564928_2.fastq.gz
SRR1568127	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/007/SRR1568127/SRR1568127_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/007/SRR1568127/SRR1568127_2.fastq.gz
SRR1565113	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/003/SRR1565113/SRR1565113_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/003/SRR1565113/SRR1565113_2.fastq.gz
SRR1568190	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/000/SRR1568190/SRR1568190_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/000/SRR1568190/SRR1568190_2.fastq.gz
SRR1564965	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/005/SRR1564965/SRR1564965_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/005/SRR1564965/SRR1564965_2.fastq.gz
SRR1568223	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/003/SRR1568223/SRR1568223_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/003/SRR1568223/SRR1568223_2.fastq.gz
SRR1562522	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/002/SRR1562522/SRR1562522_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/002/SRR1562522/SRR1562522_2.fastq.gz
SRR1564952	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/002/SRR1564952/SRR1564952_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/002/SRR1564952/SRR1564952_2.fastq.gz
SRR2316034	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/004/SRR2316034/SRR2316034_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/004/SRR2316034/SRR2316034_2.fastq.gz
SRR2316036	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/006/SRR2316036/SRR2316036_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/006/SRR2316036/SRR2316036_2.fastq.gz
SRR2316041	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/001/SRR2316041/SRR2316041_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/001/SRR2316041/SRR2316041_2.fastq.gz
SRR2316044	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/004/SRR2316044/SRR2316044_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/004/SRR2316044/SRR2316044_2.fastq.gz
